stationName,netType,latDD,lonDD,elev,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,pJan,pFeb,pMar,pApr,pMay,pJun,pJul,pAug,pSep,pOct,pNov,pDec,pdType,pdStartYr,pdEndYr,awc,maatmast,cntryCode,stProvCode,notes,stationID
WILLIAMSPORT,HCN,41.24,-76.92,520,27.3,27.9,33.4,45.8,60.7,66.1,73.6,72.9,64.4,51.7,39.9,25.5,1.71,5.48,1.41,2.24,1.47,3.02,2.98,6.47,5.13,4.79,7.52,2.01,actual,1926,1926,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.5,34,41.8,47.2,58.2,65.8,73.1,63.7,61.9,54.2,45.4,32.3,2.39,3.75,3.05,4.03,4.45,3.39,1.81,3.1,0.64,8.32,5.2,3.91,actual,1927,1927,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,30.4,29.3,37,47.3,59.2,65.6,74.1,74.5,61.5,54.7,43.6,34.2,2.16,3.86,3.15,6.74,3.05,8.6,8.02,4.1,2.64,0.87,1.32,0.63,actual,1928,1928,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.6,27.8,43.3,51.7,59.6,69.1,72.8,69.5,66.7,50.4,41,31.3,3.77,2.72,2.23,6.14,4.84,3.92,1.32,0.88,2.64,8.81,2.96,2.93,actual,1929,1929,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.1,33.6,38.7,48.4,61.3,70,73.1,71.5,67.6,50.9,41.6,30.1,1.74,1.59,4.47,3.81,3.74,3.88,2.6,0.53,2.16,0.25,0.69,2.22,actual,1930,1930,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.1,31.4,37.3,49.6,61,69.1,76.2,71.8,70.5,55.4,48.8,36.4,1.43,2.05,3.94,3.79,7.34,2.16,3.6,2.48,1.9,1.06,0.8,2.8,actual,1931,1931,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,40.2,34.3,34.6,48,61.2,69.5,73.7,73.5,66.2,53.9,38.5,31.9,4.39,1.58,4.54,1.97,4.58,2.71,3.25,1.7,1.82,5.71,3.64,1.46,actual,1932,1932,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,36,31.3,38,52.1,62.6,72.7,73.3,70.9,66.1,51.1,37.8,30.4,1.81,1.44,4.29,4.75,5.44,2.51,3.68,9.43,6.27,1.72,1.08,2.17,actual,1933,1933,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,31,18.9,35.4,50.5,63.4,73.6,76.4,68.9,66.9,51.6,44.5,30.2,1.99,0.89,2.36,4.15,1.51,3.34,2.75,3,8.88,1.37,4.32,2.78,actual,1934,1934,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.3,28.1,40.2,46.9,55.7,67,75.7,71.6,61.4,51.9,44.1,26.5,2.19,2.23,2.25,3.21,2.56,3.19,3.89,2.89,2.31,2.75,4.16,2.17,actual,1935,1935,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
